"original address",latitude,longitude,accuracy,status code
"Montgat,Barcelona,Spain",41.4664522,2.2790882,4,200
"Montmajor,Barcelona,Spain",42.0176993,1.7352014,4,200
"Montmaneu,Barcelona,Spain",41.625739,1.4146762,4,200
"Montmeló,Barcelona,Spain",41.5514602,2.2484649,4,200
"Montornès del Vallès,Barcelona,Spain",41.5425435,2.2637794,4,200
"Montseny,Barcelona,Spain",41.7600129,2.3949185,4,200
"Muntanyola,Barcelona,Spain",41.8783641,2.1773014,4,200
"Mura,Barcelona,Spain",41.69948,1.976545,4,200
"Navarcles,Barcelona,Spain",41.7515841,1.9032571,4,200
"Navàs,Barcelona,Spain",41.9000691,1.8793632,4,200
"Nou de Berguedà, la,Barcelona,Spain",42.1659917,1.8847645,4,200
"Òdena,Barcelona,Spain",41.6067262,1.6409088,4,200
"Olèrdola,Barcelona,Spain",41.3219444,1.7230556,4,200
"Olesa de Bonesvalls,Barcelona,Spain",41.353009,1.8498871,4,200
"Olesa de Montserrat,Barcelona,Spain",41.5434007,1.8881533,4,200
"Olivella,Barcelona,Spain",41.3103368,1.8122788,4,200
"Olost,Barcelona,Spain",41.9858222,2.095717,4,200
"Olvan,Barcelona,Spain",42.0573222,1.9056367,4,200
"Orís,Barcelona,Spain",42.06,2.2402778,4,200
"Oristà,Barcelona,Spain",41.9324271,2.0603133,4,200
"Orpí,Barcelona,Spain",41.5186744,1.5752934,4,200
"Òrrius,Barcelona,Spain",41.5549879,2.3551128,4,200
"Pacs del Penedès,Barcelona,Spain",41.3615645,1.6694174,4,200
"Palafolls,Barcelona,Spain",41.6649756,2.7497678,4,200
"Palau-solità i Plegamans,Barcelona,Spain",41.5886211,2.1792329,4,200
"Pallejà,Barcelona,Spain",41.4237214,1.9967008,4,200
"Palma de Cervelló, la,Barcelona,Spain",41.4131046,1.967401,4,200
"Papiol, el,Barcelona,Spain",41.4389532,2.0106862,4,200
"Parets del Vallès,Barcelona,Spain",41.5735512,2.2337939,4,200
"Perafita,Barcelona,Spain",42.0415946,2.1071576,4,200
"Piera,Barcelona,Spain",41.5179711,1.7432683,4,200
"Pineda de Mar,Barcelona,Spain",41.6275068,2.6894543,4,200
"Pla del Penedès, el,Barcelona,Spain",41.4179764,1.7103197,4,200
"Pobla de Claramunt, la,Barcelona,Spain",41.552991,1.6759206,4,200
"Pobla de Lillet, la,Barcelona,Spain",42.2434426,1.9747299,4,200
"Polinyà,Barcelona,Spain",41.5575011,2.1562432,4,200
"Pont de Vilomara i Rocafort, el,Barcelona,Spain",41.6998688,1.8708547,4,200
"Pontons,Barcelona,Spain",41.4159878,1.5166998,4,200
"Prat de Llobregat, el,Barcelona,Spain",41.7793353,1.9888702,0,200
"Prats de Lluçanès,Barcelona,Spain",42.0087426,2.0285782,4,200
"Prats de Rei, els,Barcelona,Spain",41.7055015,1.5415308,4,200
"Premià de Dalt,Barcelona,Spain",41.5065541,2.3430584,4,200
"Premià de Mar,Barcelona,Spain",41.4895789,2.3565363,4,200
"Puig-reig,Barcelona,Spain",41.9744578,1.8788555,4,200
"Puigdàlber,Barcelona,Spain",41.4044145,1.701116,4,200
"Pujalt,Barcelona,Spain",41.7172405,1.422128,4,200
"Quar, la,Barcelona,Spain",42.0808496,1.9616303,4,200
"Rajadell,Barcelona,Spain",41.729233,1.7074195,4,200
"Rellinars,Barcelona,Spain",41.6374384,1.9109543,9,200
"Ripollet,Barcelona,Spain",41.4973555,2.1556739,4,200
"Roca del Vallès, la,Barcelona,Spain",41.5905265,2.3262583,4,200
"Roda de Ter,Barcelona,Spain",41.9812284,2.3093377,9,200
"Rubí,Barcelona,Spain",41.4923325,2.0312617,4,200
"Rubió,Barcelona,Spain",41.6432753,1.5690872,4,200
"Rupit i Pruit,Barcelona,Spain",42.026026,2.4650487,4,200
"Sabadell,Barcelona,Spain",41.5486198,2.1074206,4,200
"Sagàs,Barcelona,Spain",42.0506592,1.9616692,4,200
"Saldes,Barcelona,Spain",42.2289265,1.7355966,4,200
"Sallent,Barcelona,Spain",41.8241997,1.8949298,4,200
"Sant Adrià de Besòs,Barcelona,Spain",41.4305965,2.2182393,4,200
"Sant Agustí de Lluçanès,Barcelona,Spain",42.0854592,2.1278249,4,200
"Sant Andreu de la Barca,Barcelona,Spain",41.4471833,1.9759353,4,200
"Sant Andreu de Llavaneres,Barcelona,Spain",41.5723677,2.4823666,4,200
"Sant Antoni de Vilamajor,Barcelona,Spain",41.6737032,2.4008589,4,200
"Sant Bartomeu del Grau,Barcelona,Spain",41.9807601,2.1755984,4,200
"Sant Boi de Llobregat,Barcelona,Spain",41.3473838,2.0431027,4,200
"Sant Boi de Lluçanès,Barcelona,Spain",42.0588819,2.1516628,4,200
"Sant Cebrià de Vallalta,Barcelona,Spain",41.6197756,2.6003067,4,200
"Sant Celoni,Barcelona,Spain",41.6901851,2.49167,4,200
"Sant Climent de Llobregat,Barcelona,Spain",41.3378325,1.9957372,9,200
"Sant Cugat del Vallès,Barcelona,Spain",41.4718638,2.0821392,4,200
"Sant Cugat Sesgarrigues,Barcelona,Spain",41.3644139,1.7536126,4,200
"Sant Esteve de Palautordera,Barcelona,Spain",41.7034676,2.4353863,4,200
"Sant Esteve Sesrovires,Barcelona,Spain",41.4945501,1.8727991,4,200
"Sant Feliu de Codines,Barcelona,Spain",41.688928,2.1648036,4,200
"Sant Feliu de Llobregat,Barcelona,Spain",41.3809381,2.0451716,4,200
"Sant Feliu Sasserra,Barcelona,Spain",41.9447659,2.0224696,4,200
"Sant Fost de Campsentelles,Barcelona,Spain",41.5145208,2.2347905,4,200
"Sant Fruitós de Bages,Barcelona,Spain",41.74952,1.8728848,4,200
"Sant Hipòlit de Voltregà,Barcelona,Spain",42.0155429,2.2362545,4,200
"Sant Iscle de Vallalta,Barcelona,Spain",41.6237699,2.5691272,4,200
"Sant Jaume de Frontanyà,Barcelona,Spain",42.1871461,2.0232806,4,200
"Sant Joan de Vilatorrada,Barcelona,Spain",41.7454941,1.8055433,4,200
"Sant Joan Despí,Barcelona,Spain",41.3676893,2.0560645,4,200
"Sant Julià de Cerdanyola,Barcelona,Spain",42.2230555,1.8911192,4,200
"Sant Julià de Vilatorta,Barcelona,Spain",41.9223129,2.3243507,4,200
"Sant Just Desvern,Barcelona,Spain",41.3857565,2.0755444,4,200
"Sant Llorenç d`Hortons,Barcelona,Spain",41.4648528,1.8243985,4,200
"Sant Llorenç Savall,Barcelona,Spain",41.6798221,2.0593104,4,200
"Sant Martí d`Albars,Barcelona,Spain",42.0282428,2.0737587,4,200
"Sant Martí de Centelles,Barcelona,Spain",41.7663251,2.2048198,4,200
"Sant Martí de Tous,Barcelona,Spain",41.5607215,1.5221472,9,200
"Sant Martí Sarroca,Barcelona,Spain",41.3857783,1.6114233,4,200
"Sant Martí Sesgueioles,Barcelona,Spain",41.7020985,1.4879199,4,200
"Sant Mateu de Bages,Barcelona,Spain",41.7968891,1.7327371,4,200
"Sant Pere de Ribes,Barcelona,Spain",41.2590969,1.7754176,4,200
"Sant Pere de Riudebitlles,Barcelona,Spain",41.4534718,1.7016283,4,200
"Sant Pere de Torelló,Barcelona,Spain",42.0756371,2.296003,4,200
"Sant Pere de Vilamajor,Barcelona,Spain",41.6849949,2.3904977,4,200
"Sant Pere Sallavinera,Barcelona,Spain",41.7365713,1.5731762,4,200
"Sant Pol de Mar,Barcelona,Spain",41.5994452,2.6158716,4,200
"Sant Quintí de Mediona,Barcelona,Spain",41.4638322,1.6664617,4,200
"Sant Quirze de Besora,Barcelona,Spain",42.1009408,2.2166109,4,200
"Sant Quirze del Vallès,Barcelona,Spain",41.5308004,2.086581,4,200
"Sant Quirze Safaja,Barcelona,Spain",41.7273232,2.1530632,4,200
"Sant Sadurní d`Anoia,Barcelona,Spain",41.4253476,1.7856727,4,200
"Sant Sadurní d`Osormort,Barcelona,Spain",41.9032055,2.3814482,4,200
"Sant Salvador de Guardiola,Barcelona,Spain",41.6797354,1.7665121,9,200
"Sant Vicenç de Castellet,Barcelona,Spain",41.6658042,1.8638493,4,200
"Sant Vicenç de Montalt,Barcelona,Spain",41.5826242,2.5099261,4,200
"Sant Vicenç de Torelló,Barcelona,Spain",42.0623418,2.2727568,4,200
"Sant Vicenç dels Horts,Barcelona,Spain",41.3936202,2.0098697,4,200
"Santa Cecília de Voltregà,Barcelona,Spain",41.9930612,2.2199023,4,200
"Santa Coloma de Cervelló,Barcelona,Spain",41.3668404,2.0150828,4,200
"Santa Coloma de Gramenet,Barcelona,Spain",41.4510746,2.208978,4,200
"Santa Eugènia de Berga,Barcelona,Spain",41.9002962,2.2826972,4,200
"Santa Eulàlia de Riuprimer,Barcelona,Spain",41.9108,2.1888521,4,200
"Santa Eulàlia de Ronçana,Barcelona,Spain",41.6530556,2.2261111,4,200
"Santa Fe del Penedès,Barcelona,Spain",41.3843786,1.721198,4,200
"Santa Margarida de Montbui,Barcelona,Spain",41.5579724,1.6054716,4,200
"Santa Margarida i els Monjos,Barcelona,Spain",41.3208719,1.6628384,4,200
"Santa Maria d`Oló,Barcelona,Spain",41.8720736,2.0352909,4,200
"Santa Maria de Besora,Barcelona,Spain",42.1269561,2.258088,4,200
"Santa Maria de Corcó,Barcelona,Spain",42.035596,2.3689234,4,200
"Santa Maria de Martorelles,Barcelona,Spain",41.5195469,2.25424,4,200
"Santa Maria de Merlès,Barcelona,Spain",42.0010993,1.9777909,4,200
"Santa Maria de Miralles,Barcelona,Spain",41.5181315,1.5251288,4,200
"Santa Maria de Palautordera,Barcelona,Spain",41.693195,2.4462271,4,200
"Santa Perpètua de Mogoda,Barcelona,Spain",41.5348637,2.1789883,4,200
"Santa Susanna,Barcelona,Spain",41.6406938,2.7168714,4,200
"Santpedor,Barcelona,Spain",41.7835681,1.8391293,4,200
"Sentmenat,Barcelona,Spain",41.6116329,2.134932,4,200
"Seva,Barcelona,Spain",41.8373289,2.2810628,4,200
"Sitges,Barcelona,Spain",41.2347823,1.8112222,4,200
"Sobremunt,Barcelona,Spain",42.034611,2.1683734,4,200
"Sora,Barcelona,Spain",42.1107218,2.1598511,4,200
"Subirats,Barcelona,Spain",41.3847222,1.7980556,4,200
"Súria,Barcelona,Spain",41.8317965,1.750768,4,200
"Tagamanent,Barcelona,Spain",41.7396244,2.2657591,4,200
"Talamanca,Barcelona,Spain",41.7354434,1.9779209,4,200
"Taradell,Barcelona,Spain",41.8736336,2.287192,4,200
"Tavèrnoles,Barcelona,Spain",41.9522693,2.3260513,4,200
"Tavertet,Barcelona,Spain",41.9960548,2.4193226,4,200
"Teià,Barcelona,Spain",41.499689,2.3206162,4,200
"Terrassa,Barcelona,Spain",41.560953,2.0104398,4,200
"Tiana,Barcelona,Spain",41.4832432,2.2689802,4,200
"Tona,Barcelona,Spain",41.8478458,2.2277553,4,200
"Tordera,Barcelona,Spain",41.7020627,2.71902,4,200
"Torelló,Barcelona,Spain",42.0482431,2.2627203,4,200
"Torre de Claramunt, la,Barcelona,Spain",41.5358935,1.6616571,4,200
"Torrelavit,Barcelona,Spain",41.446348,1.7298737,4,200
"Torrelles de Foix,Barcelona,Spain",41.3883299,1.568705,9,200
"Torrelles de Llobregat,Barcelona,Spain",41.3538882,1.9766603,4,200
"Ullastrell,Barcelona,Spain",41.5270691,1.9569313,4,200
"Vacarisses,Barcelona,Spain",41.6062684,1.9191586,4,200
"Vallbona d`Anoia,Barcelona,Spain",41.519616,1.7089358,4,200
"Vallcebre,Barcelona,Spain",42.2039401,1.8182345,4,200
